Id,Category
0,0
1,10
2,3
3,9
4,6
5,3
6,0
7,10
8,3
9,2
10,3
11,0
12,6
13,10
14,0
15,4
16,9
17,3
18,5
19,9
20,3
21,5
22,3
23,3
24,9
25,3
26,10
27,4
28,4
29,10
30,5
31,9
32,8
33,4
34,2
35,2
36,5
37,10
38,10
39,3
40,6
41,2
42,2
43,0
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,8
54,3
55,8
56,6
57,1
58,6
59,9
60,5
61,8
62,6
63,3
64,10
65,1
66,2
67,9
68,4
69,3
70,5
71,6
72,5
73,5
74,5
75,6
76,3
77,1
78,2
79,9
80,2
81,5
82,5
83,1
84,7
85,3
86,4
87,4
88,4
89,6
90,2
91,5
92,3
93,5
94,6
95,6
96,9
97,2
98,6
99,10
100,2
101,2
102,8
103,5
104,4
105,9
106,6
107,5
108,9
109,10
110,5
111,8
112,4
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,0
121,2
122,3
123,2
124,3
125,8
126,5
127,5
128,10
129,9
130,8
131,0
132,2
133,1
134,1
135,1
136,3
137,10
138,3
139,1
140,8
141,10
142,5
143,8
144,9
145,4
146,9
147,4
148,2
149,5
150,2
151,1
152,6
153,0
154,10
155,1
156,9
157,7
158,8
159,2
160,5
161,8
162,5
163,0
164,8
165,4
166,8
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,1
175,2
176,2
177,10
178,8
179,7
180,9
181,8
182,9
183,6
184,10
185,9
186,8
187,2
188,0
189,4
190,7
191,3
192,6
193,4
194,7
195,4
196,8
197,9
198,0
199,8
200,9
201,8
202,8
203,7
204,4
205,6
206,7
207,9
208,8
209,9
210,8
211,2
212,2
213,8
214,1
215,2
216,10
217,1
218,9
219,3
220,4
221,2
222,2
223,7
224,9
225,5
226,9
227,9
228,6
229,3
230,4
231,9
232,7
233,8
234,7
235,2
236,9
237,10
238,4
239,7
240,2
241,3
242,0
243,4
244,2
245,5
246,2
247,9
248,10
249,9
250,9
251,3
252,2
253,9
254,5
255,0
256,0
257,9
258,3
259,0
260,8
261,2
262,4
263,10
264,2
265,9
266,1
267,3
268,0
269,9
270,4
271,3
272,10
273,4
274,2
275,1
276,9
277,2
278,1
279,0
280,1
281,8
282,2
283,3
284,10
285,0
286,2
287,4
288,1
289,10
290,9
291,0
292,1
293,10
294,9
295,6
296,7
297,0
298,10
299,5
300,6
301,9
302,4
303,1
304,0
305,10
306,8
307,8
308,9
309,4
310,1
311,0
312,1
313,8
314,8
315,8
316,7
317,7
318,8
319,1
320,1
321,2
322,5
323,1
324,4
325,1
326,5
327,6
328,10
329,4
330,8
331,0
332,2
333,2
334,1
335,2
336,3
337,3
338,5
339,10
340,9
341,6
342,5
343,10
344,3
345,7
346,3
347,6
348,4
349,9
350,7
351,10
352,6
353,2
354,0
355,2
356,8
357,10
358,8
359,4
360,4
361,5
362,10
363,5
364,2
365,5
366,4
367,4
368,2
369,0
370,9
371,4
372,2
373,2
374,2
375,3
376,9
377,9
378,1
379,5
380,10
381,7
382,4
383,2
384,3
385,0
386,9
387,10
388,10
389,4
390,4
391,7
392,10
393,10
394,7
395,3
396,8
397,8
398,10
399,9
400,9
401,1
402,9
403,10
404,7
405,3
406,10
407,10
408,0
409,4
410,9
411,6
412,3
413,7
414,3
415,7
416,4
417,5
418,3
419,9
420,5
421,2
422,5
423,2
424,3
425,8
426,3
427,4
428,9
429,9
430,5
431,2
432,7
433,8
434,1
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,9
443,2
444,2
445,3
446,0
447,2
448,0
449,2
450,4
451,9
452,3
453,2
454,6
455,6
456,5
457,4
458,2
459,10
460,3
461,9
462,10
463,2
464,1
465,4
466,6
467,7
468,4
469,2
470,5
471,4
472,8
473,8
474,9
475,3
476,7
477,1
478,2
479,6
480,5
481,0
482,3
483,1
484,10
485,5
486,9
487,9
488,5
489,9
490,3
491,10
492,7
493,2
494,5
495,5
496,8
497,1
498,9
499,10
500,2
501,1
502,5
503,2
504,0
505,6
506,7
507,8
508,10
509,10
510,2
511,6
512,9
513,9
514,3
515,2
516,9
517,9
518,4
519,3
520,2
521,4
522,7
523,1
524,1
525,2
526,2
527,9
528,6
529,3
530,4
531,1
532,4
533,1
534,0
535,10
536,2
537,0
538,8
539,10
540,2
541,1
542,7
543,3
544,9
545,1
546,7
547,5
548,3
549,10
550,2
551,2
552,7
553,2
554,3
555,8
556,2
557,5
558,6
559,2
560,7
561,1
562,5
563,8
564,3
565,4
566,5
567,1
568,8
569,3
570,5
571,5
572,7
573,5
574,2
575,2
576,8
577,7
578,4
579,1
580,2
581,2
582,5
583,9
584,3
585,7
586,8
587,2
588,7
589,8
590,4
591,10
592,4
593,5
594,1
595,9
596,5
597,1
598,4
599,4
600,5
601,10
602,7
603,6
604,4
605,9
606,9
607,4
608,2
609,1
610,5
611,9
612,2
613,0
614,2
615,10
616,3
617,9
618,0
619,9
620,7
621,4
622,4
623,8
624,4
625,0
626,3
627,10
628,1
629,7
630,0
631,0
632,2
633,2
634,2
635,3
636,9
637,1
638,8
639,0
640,10
641,0
642,1
643,2
644,0
645,4
646,6
647,2
648,5
649,3
650,7
651,10
652,8
653,5
654,0
655,5
656,5
657,8
658,4
659,3
660,2
661,6
662,0
663,9
664,9
665,2
666,0
667,5
668,6
669,4
670,7
671,9
672,2
673,8
674,5
675,5
676,3
677,2
678,5
679,2
680,1
681,1
682,0
683,8
684,1
685,7
686,10
687,2
688,7
689,7
690,2
691,9
692,3
693,5
694,4
695,8
696,6
697,8
698,9
699,9
700,9
701,8
702,10
703,0
704,4
705,10
706,10
707,0
708,5
709,9
710,7
711,8
712,6
713,1
714,6
715,2
716,4
717,5
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,5
729,4
730,8
731,9
732,8
733,9
734,4
735,1
736,3
737,2
738,8
739,7
740,8
741,7
742,8
743,3
744,7
745,2
746,3
747,9
748,6
749,8
750,4
751,1
752,4
753,5
754,3
755,0
756,8
757,10
758,6
759,10
760,2
761,8
762,2
763,8
764,8
765,1
766,2
767,9
768,2
769,10
770,5
771,4
772,2
773,4
774,6
775,8
776,8
777,5
778,10
779,4
780,4
781,8
782,4
783,2
784,0
785,8
786,4
787,0
788,8
789,10
790,0
791,8
792,7
793,9
794,7
795,2
796,9
797,2
798,0
799,2
800,1
801,1
802,3
803,8
804,0
805,4
806,10
807,8
808,10
809,3
810,9
811,4
812,5
813,7
814,2
815,4
816,0
817,9
818,0
819,3
820,10
821,8
822,9
823,10
824,4
825,3
826,4
827,2
828,2
829,0
830,0
831,2
832,8
833,9
834,4
835,2
836,2
837,3
838,2
839,3
840,8
841,10
842,3
843,3
844,3
845,2
846,2
847,10
848,0
849,7
850,8
851,1
852,4
853,3
854,10
855,10
856,10
857,10
858,0
859,2
860,1
861,0
862,0
863,3
864,1
865,0
866,2
867,10
868,8
869,3
870,2
871,7
872,2
873,3
874,9
875,3
876,10
877,2
878,8
879,10
880,3
881,8
882,9
883,6
884,4
885,2
886,0
887,4
888,2
889,4
890,6
891,3
892,5
893,4
894,0
895,2
896,2
897,5
898,4
899,9
900,6
901,10
902,3
903,3
904,6
905,1
906,7
907,5
908,9
909,3
910,10
911,8
912,9
913,3
914,4
915,3
916,5
917,1
918,9
919,4
920,3
921,3
922,8
923,9
924,9
925,2
926,3
927,4
928,4
929,9
930,9
931,2
932,9
933,0
934,2
935,1
936,1
937,2
938,3
939,1
940,9
941,3
942,3
943,10
944,7
945,10
946,7
947,1
948,10
949,7
950,4
951,1
952,9
953,9
954,1
955,9
956,6
957,7
958,2
959,6
960,1
961,3
962,7
963,1
964,2
965,0
966,9
967,9
968,1
969,4
970,10
971,0
972,5
973,5
974,3
975,2
976,7
977,6
978,5
979,1
980,3
981,7
982,0
983,9
984,7
985,1
986,5
987,5
988,10
989,9
990,5
991,7
992,8
993,7
994,2
995,7
996,4
997,2
998,9
999,4
1000,9
1001,5
1002,10
1003,7
1004,1
1005,7
1006,2
1007,2
1008,1
1009,0
1010,5
1011,1
1012,6
1013,2
1014,4
1015,10
1016,4
1017,2
1018,3
1019,9
1020,10
1021,9
1022,5
1023,8
1024,9
1025,5
1026,10
1027,4
1028,10
1029,5
1030,7
1031,4
1032,6
1033,1
1034,1
1035,10
1036,8
1037,5
1038,10
1039,8
1040,9
1041,8
1042,1
1043,9
1044,2
1045,9
1046,2
1047,4
1048,4
1049,9
1050,1
1051,3
1052,9
1053,4
1054,8
1055,5
1056,0
1057,5
1058,3
1059,9
1060,10
1061,10
1062,5
1063,10
1064,9
1065,8
1066,4
1067,2
1068,9
1069,9
1070,4
1071,7
1072,1
1073,2
1074,10
1075,4
1076,5
1077,5
1078,10
1079,5
1080,9
1081,5
1082,7
1083,4
1084,4
1085,3
1086,1
1087,0
1088,1
1089,0
1090,1
1091,4
1092,1
1093,4
1094,8
1095,1
1096,10
1097,8
1098,4
1099,6
1100,1
1101,1
1102,5
1103,4
1104,6
1105,2
1106,9
1107,10
1108,1
1109,9
1110,4
1111,9
1112,2
1113,2
1114,3
1115,3
1116,10
1117,5
1118,5
1119,6
1120,6
1121,9
1122,7
1123,3
1124,1
1125,9
1126,6
1127,3
1128,1
1129,4
1130,1
1131,9
1132,8
1133,1
1134,4
1135,2
1136,10
1137,4
1138,0
1139,7
1140,8
1141,3
1142,0
1143,2
1144,2
1145,3
1146,9
1147,10
1148,1
1149,10
1150,3
1151,2
1152,3
1153,6
1154,0
1155,9
1156,5
1157,3
1158,2
1159,1
1160,10
1161,8
1162,9
1163,9
1164,5
1165,2
1166,0
1167,5
1168,0
1169,5
1170,4
1171,2
1172,7
1173,2
1174,8
1175,0
1176,10
1177,1
1178,1
1179,4
1180,1
1181,6
1182,1
1183,8
1184,1
1185,2
1186,6
1187,4
1188,5
1189,9
1190,7
1191,2
1192,5
1193,5
1194,10
1195,3
1196,7
1197,5
1198,0
1199,0
1200,2
1201,0
1202,1
1203,8
1204,5
1205,5
1206,8
1207,9
1208,9
1209,3
1210,9
1211,8
1212,5
1213,10
1214,5
1215,8
1216,8
1217,10
1218,0
1219,9
1220,10
1221,5
1222,4
1223,1
1224,4
1225,6
1226,8
1227,6
1228,1
1229,2
1230,2
1231,3
1232,10
1233,5
1234,5
1235,4
1236,4
1237,3
1238,4
1239,9
1240,2
1241,2
1242,8
1243,9
1244,8
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,5
1254,4
1255,8
1256,4
1257,10
1258,8
1259,1
1260,0
1261,1
1262,0
1263,0
1264,4
1265,9
1266,8
1267,10
1268,8
1269,7
1270,2
1271,2
1272,6
1273,2
1274,7
1275,3
1276,4
1277,4
1278,10
1279,2
1280,2
1281,1
1282,9
1283,5
1284,3
1285,2
1286,1
1287,9
1288,10
1289,7
1290,0
1291,8
1292,5
1293,5
1294,0
1295,9
1296,2
1297,4
1298,9
1299,2
1300,9
1301,8
1302,5
1303,4
1304,8
1305,0
1306,1
1307,1
1308,1
1309,8
1310,10
1311,3
1312,2
1313,1
1314,2
1315,0
1316,0
1317,8
1318,5
1319,10
1320,1
1321,6
1322,3
1323,6
1324,4
1325,4
1326,0
1327,4
1328,4
1329,1
1330,10
1331,4
1332,8
1333,1
1334,5
1335,4
1336,8
1337,4
1338,3
1339,1
1340,10
1341,8
1342,4
1343,8
1344,9
1345,7
1346,3
1347,7
1348,2
1349,4
1350,3
1351,5
1352,8
1353,2
1354,10
1355,3
1356,5
1357,6
1358,2
1359,1
1360,0
1361,9
1362,5
1363,2
1364,10
1365,7
1366,2
1367,2
1368,1
1369,9
1370,8
1371,4
1372,6
1373,3
1374,9
1375,4
1376,10
1377,8
1378,4
1379,8
1380,4
1381,1
1382,3
1383,3
1384,5
1385,4
1386,4
1387,8
1388,9
1389,8
1390,10
1391,5
1392,6
1393,5
1394,8
1395,2
1396,10
1397,8
1398,8
1399,1
1400,8
1401,9
1402,9
1403,2
1404,9
1405,4
1406,10
1407,8
1408,8
1409,2
1410,0
1411,4
1412,0
1413,2
1414,8
1415,2
1416,8
1417,0
1418,2
1419,6
1420,10
1421,7
1422,1
1423,2
1424,10
1425,8
1426,3
1427,0
1428,5
1429,2
1430,0
1431,7
1432,8
1433,3
1434,8
1435,6
1436,8
1437,6
1438,5
1439,5
1440,9
1441,1
1442,1
1443,8
1444,10
1445,8
1446,1
1447,10
1448,0
1449,0
1450,6
1451,4
1452,5
1453,9
1454,10
1455,7
1456,9
1457,0
1458,1
1459,0
1460,2
1461,5
1462,2
1463,2
1464,4
1465,5
1466,8
1467,2
1468,1
1469,2
1470,2
1471,1
1472,5
1473,2
1474,7
1475,7
1476,9
1477,4
1478,8
1479,6
1480,9
1481,5
1482,9
1483,9
1484,1
1485,5
1486,4
1487,3
1488,7
1489,6
1490,2
1491,8
1492,8
1493,2
1494,10
1495,9
1496,9
1497,1
1498,4
1499,10
1500,4
1501,7
1502,8
1503,2
1504,3
1505,9
1506,9
1507,7
1508,2
1509,2
1510,7
1511,10
1512,1
1513,3
1514,5
1515,1
1516,10
1517,5
1518,8
1519,2
1520,5
1521,7
1522,0
1523,2
1524,9
1525,5
1526,6
1527,4
1528,8
1529,3
1530,10
1531,2
1532,4
1533,2
1534,8
1535,1
1536,0
1537,5
1538,6
1539,9
1540,9
1541,6
1542,2
1543,6
1544,6
1545,2
1546,9
1547,10
1548,8
1549,4
1550,2
1551,8
1552,6
1553,1
1554,5
1555,1
1556,3
1557,4
1558,7
1559,9
1560,3
1561,8
1562,3
1563,9
1564,7
1565,6
1566,9
1567,7
1568,2
1569,4
1570,3
1571,5
1572,10
1573,10
1574,10
1575,4
1576,7
1577,7
1578,1
1579,7
1580,9
1581,0
1582,2
1583,9
1584,8
1585,0
1586,4
1587,5
1588,2
1589,9
1590,2
1591,10
1592,5
1593,10
1594,8
1595,4
1596,10
1597,7
1598,3
1599,10
1600,2
1601,4
1602,2
1603,1
1604,8
1605,8
1606,3
1607,4
1608,0
1609,2
1610,3
1611,6
1612,9
1613,9
1614,6
1615,4
1616,3
1617,2
1618,0
1619,4
1620,8
1621,0
1622,1
1623,8
1624,10
1625,8
1626,3
1627,2
1628,3
1629,1
1630,0
1631,8
1632,8
1633,9
1634,3
1635,0
1636,3
1637,3
1638,5
1639,1
1640,5
1641,1
1642,8
1643,0
1644,4
1645,2
1646,1
1647,7
1648,9
1649,10
1650,4
1651,5
1652,8
1653,7
1654,9
1655,10
1656,1
1657,3
1658,5
1659,0
1660,0
1661,4
1662,1
1663,5
1664,4
1665,10
1666,8
1667,0
1668,1
1669,4
1670,0
1671,2
1672,6
1673,5
1674,9
1675,3
1676,5
1677,7
1678,5
1679,3
1680,1
1681,6
1682,4
1683,3
1684,5
1685,10
1686,8
1687,4
1688,8
1689,10
1690,8
1691,2
1692,5
1693,9
1694,5
1695,9
1696,8
1697,8
1698,9
1699,2
1700,0
1701,9
1702,8
1703,4
1704,2
1705,8
1706,7
1707,10
1708,3
1709,6
1710,4
1711,10
1712,5
1713,4
1714,4
1715,9
1716,10
1717,5
1718,9
1719,5
1720,3
1721,7
1722,4
1723,3
1724,9
1725,1
1726,0
1727,10
1728,1
1729,3
1730,1
1731,2
1732,9
1733,2
1734,0
1735,7
1736,0
1737,6
1738,3
1739,8
1740,8
1741,6
1742,9
1743,9
1744,10
1745,0
1746,2
1747,4
1748,9
1749,9
1750,2
1751,2
1752,10
1753,6
1754,1
1755,5
1756,3
1757,7
1758,3
1759,9
1760,2
1761,4
1762,2
1763,7
1764,3
1765,9
1766,2
1767,5
1768,4
1769,5
1770,5
1771,8
1772,10
1773,5
1774,4
1775,5
1776,10
1777,9
1778,4
1779,1
1780,1
1781,8
1782,5
1783,9
1784,9
1785,7
1786,2
1787,8
1788,4
1789,9
1790,8
1791,7
1792,0
1793,1
1794,2
1795,7
1796,5
1797,8
1798,5
1799,1
1800,9
1801,1
1802,0
1803,8
1804,6
1805,1
1806,8
1807,5
1808,9
1809,4
1810,6
1811,4
1812,4
1813,9
1814,10
1815,2
1816,5
1817,4
1818,8
1819,6
1820,9
1821,10
1822,9
1823,9
1824,7
1825,3
1826,1
1827,2
1828,9
1829,2
1830,9
1831,2
1832,2
1833,9
1834,6
1835,3
1836,3
1837,9
1838,9
1839,2
1840,4
1841,6
1842,9
1843,7
1844,8
1845,5
1846,2
1847,2
1848,1
1849,9
1850,2
1851,5
1852,8
1853,2
1854,7
1855,1
1856,6
1857,7
1858,1
1859,6
1860,8
1861,2
1862,1
1863,8
1864,8
1865,3
1866,0
1867,2
1868,1
1869,7
1870,1
1871,5
1872,0
1873,10
1874,0
1875,9
1876,8
1877,4
1878,0
1879,6
1880,8
1881,2
1882,5
1883,0
1884,4
1885,1
1886,9
1887,8
1888,3
1889,1
1890,4
1891,1
1892,9
1893,7
1894,3
1895,0
1896,10
1897,9
1898,0
1899,10
1900,2
1901,3
1902,3
1903,6
1904,8
1905,2
1906,4
1907,5
1908,1
1909,7
1910,10
1911,9
1912,3
1913,1
1914,9
1915,9
1916,6
1917,2
1918,8
1919,3
1920,8
1921,5
1922,10
1923,3
1924,3
1925,2
