Id,Category
0,0
1,10
2,7
3,9
4,6
5,3
6,4
7,10
8,0
9,2
10,1
11,0
12,3
13,10
14,0
15,4
16,9
17,1
18,5
19,1
20,3
21,5
22,2
23,1
24,1
25,3
26,5
27,4
28,5
29,8
30,5
31,9
32,6
33,2
34,5
35,2
36,5
37,8
38,0
39,1
40,6
41,2
42,0
43,5
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,3
54,6
55,8
56,6
57,9
58,6
59,0
60,5
61,4
62,2
63,3
64,5
65,1
66,1
67,9
68,4
69,3
70,5
71,2
72,5
73,5
74,5
75,6
76,4
77,0
78,1
79,9
80,0
81,0
82,9
83,8
84,6
85,0
86,4
87,4
88,10
89,6
90,8
91,5
92,3
93,5
94,6
95,6
96,2
97,2
98,6
99,10
100,9
101,2
102,8
103,5
104,0
105,7
106,6
107,5
108,9
109,10
110,5
111,5
112,5
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,8
121,5
122,3
123,2
124,3
125,5
126,6
127,8
128,10
129,9
130,5
131,0
132,8
133,0
134,4
135,2
136,7
137,10
138,3
139,0
140,1
141,4
142,5
143,5
144,1
145,4
146,9
147,4
148,8
149,5
150,5
151,4
152,6
153,0
154,10
155,1
156,1
157,2
158,8
159,5
160,5
161,9
162,5
163,1
164,8
165,0
166,5
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,7
175,2
176,2
177,10
178,8
179,2
180,3
181,8
182,9
183,8
184,5
185,9
186,5
187,3
188,7
189,4
190,1
191,0
192,1
193,3
194,0
195,5
196,8
197,9
198,6
199,4
200,9
201,8
202,8
203,7
204,4
205,0
206,6
207,0
208,10
209,2
210,2
211,5
212,10
213,2
214,1
215,0
216,10
217,1
218,6
219,0
220,5
221,2
222,2
223,6
224,5
225,5
226,0
227,9
228,6
229,3
230,0
231,2
232,7
233,2
234,3
235,2
236,6
237,10
238,0
239,7
240,4
241,3
242,8
243,2
244,2
245,5
246,0
247,9
248,10
249,5
250,9
251,3
252,2
253,6
254,5
255,5
256,0
257,9
258,3
259,0
260,8
261,8
262,8
263,10
264,5
265,9
266,1
267,6
268,0
269,9
270,4
271,3
272,10
273,4
274,6
275,2
276,9
277,2
278,1
279,9
280,9
281,1
282,2
283,0
284,10
285,7
286,2
287,4
288,1
289,10
290,9
291,2
292,9
293,8
294,9
295,6
296,7
297,4
298,8
299,5
300,2
301,9
302,8
303,1
304,0
305,10
306,2
307,3
308,9
309,0
310,1
311,0
312,1
313,8
314,8
315,0
316,7
317,0
318,6
319,9
320,3
321,8
322,5
323,1
324,4
325,3
326,5
327,6
328,10
329,2
330,9
331,0
332,0
333,9
334,0
335,6
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,1
344,3
345,5
346,4
347,6
348,4
349,9
350,4
351,5
352,6
353,2
354,6
355,2
356,0
357,10
358,8
359,4
360,0
361,5
362,10
363,5
364,1
365,5
366,4
367,3
368,8
369,7
370,9
371,6
372,1
373,4
374,3
375,3
376,9
377,9
378,2
379,5
380,10
381,7
382,6
383,9
384,10
385,0
386,4
387,10
388,10
389,0
390,1
391,0
392,10
393,10
394,9
395,5
396,8
397,8
398,8
399,9
400,9
401,1
402,1
403,10
404,7
405,3
406,0
407,0
408,5
409,4
410,9
411,7
412,7
413,9
414,3
415,7
416,8
417,4
418,0
419,8
420,5
421,0
422,5
423,10
424,1
425,8
426,6
427,4
428,9
429,9
430,4
431,0
432,7
433,8
434,7
435,2
436,8
437,10
438,1
439,2
440,10
441,4
442,2
443,1
444,5
445,3
446,5
447,10
448,0
449,9
450,4
451,9
452,3
453,2
454,6
455,6
456,5
457,5
458,8
459,7
460,10
461,9
462,10
463,10
464,0
465,9
466,7
467,0
468,9
469,0
470,5
471,4
472,8
473,8
474,4
475,0
476,7
477,2
478,1
479,6
480,0
481,4
482,0
483,1
484,8
485,0
486,9
487,9
488,5
489,9
490,3
491,6
492,7
493,2
494,2
495,2
496,8
497,1
498,9
499,10
500,2
501,2
502,5
503,9
504,0
505,6
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,0
514,0
515,2
516,7
517,9
518,5
519,6
520,5
521,8
522,7
523,1
524,2
525,2
526,0
527,9
528,6
529,4
530,4
531,1
532,4
533,3
534,0
535,10
536,1
537,5
538,0
539,2
540,2
541,1
542,0
543,0
544,9
545,8
546,0
547,5
548,3
549,10
550,9
551,8
552,9
553,6
554,4
555,2
556,2
557,5
558,7
559,5
560,7
561,1
562,5
563,8
564,0
565,9
566,5
567,9
568,8
569,0
570,2
571,0
572,6
573,5
574,5
575,4
576,0
577,0
578,4
579,5
580,8
581,4
582,9
583,9
584,6
585,6
586,2
587,0
588,7
589,5
590,4
591,3
592,4
593,5
594,7
595,9
596,0
597,0
598,4
599,4
600,5
601,10
602,6
603,6
604,0
605,4
606,9
607,5
608,5
609,3
610,5
611,4
612,8
613,0
614,9
615,10
616,8
617,9
618,4
619,9
620,7
621,3
622,4
623,4
624,4
625,3
626,3
627,0
628,2
629,6
630,0
631,3
632,2
633,2
634,2
635,8
636,9
637,1
638,5
639,3
640,10
641,0
642,4
643,9
644,0
645,0
646,7
647,2
648,5
649,3
650,7
651,10
652,8
653,5
654,0
655,5
656,5
657,5
658,9
659,3
660,2
661,6
662,0
663,4
664,9
665,1
666,6
667,2
668,7
669,4
670,0
671,9
672,1
673,7
674,4
675,5
676,3
677,0
678,5
679,1
680,2
681,1
682,5
683,1
684,1
685,0
686,0
687,4
688,10
689,6
690,2
691,9
692,2
693,5
694,4
695,8
696,6
697,8
698,6
699,2
700,9
701,0
702,10
703,0
704,4
705,10
706,8
707,0
708,5
709,9
710,5
711,8
712,6
713,9
714,6
715,0
716,0
717,2
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,1
727,3
728,4
729,3
730,8
731,1
732,2
733,5
734,4
735,1
736,3
737,0
738,1
739,7
740,3
741,2
742,0
743,3
744,0
745,0
746,2
747,2
748,6
749,8
750,5
751,2
752,0
753,5
754,8
755,2
756,8
757,8
758,9
759,1
760,2
761,5
762,0
763,9
764,1
765,1
766,2
767,9
768,2
769,10
770,2
771,4
772,0
773,5
774,3
775,2
776,8
777,5
778,8
779,4
780,4
781,3
782,5
783,5
784,6
785,8
786,9
787,0
788,8
789,10
790,2
791,8
792,7
793,9
794,7
795,5
796,9
797,2
798,0
799,2
800,4
801,9
802,1
803,0
804,4
805,3
806,10
807,8
808,10
809,4
810,4
811,9
812,0
813,2
814,5
815,4
816,5
817,2
818,7
819,2
820,8
821,8
822,2
823,10
824,8
825,0
826,4
827,2
828,9
829,0
830,3
831,0
832,8
833,0
834,1
835,6
836,5
837,0
838,8
839,3
840,5
841,10
842,5
843,0
844,8
845,2
846,3
847,4
848,0
849,3
850,9
851,9
852,1
853,3
854,10
855,10
856,10
857,10
858,0
859,5
860,1
861,1
862,6
863,9
864,3
865,2
866,2
867,10
868,8
869,2
870,2
871,6
872,5
873,2
874,9
875,3
876,8
877,4
878,5
879,10
880,5
881,9
882,9
883,6
884,4
885,8
886,3
887,4
888,8
889,4
890,6
891,1
892,5
893,4
894,6
895,2
896,3
897,5
898,4
899,5
900,6
901,8
902,6
903,5
904,5
905,1
906,7
907,5
908,9
909,3
910,10
911,7
912,4
913,2
914,4
915,3
916,5
917,0
918,9
919,4
920,9
921,0
922,8
923,9
924,9
925,2
926,5
927,7
928,4
929,9
930,9
931,6
932,1
933,4
934,0
935,8
936,1
937,9
938,3
939,1
940,9
941,2
942,3
943,10
944,3
945,10
946,7
947,8
948,10
949,8
950,0
951,1
952,9
953,9
954,1
955,9
956,6
957,6
958,4
959,4
960,2
961,3
962,7
963,1
964,5
965,6
966,5
967,5
968,3
969,4
970,10
971,2
972,8
973,5
974,0
975,2
976,2
977,5
978,1
979,0
980,0
981,7
982,0
983,2
984,7
985,1
986,8
987,5
988,8
989,2
990,8
991,6
992,8
993,6
994,1
995,7
996,0
997,2
998,9
999,4
1000,9
1001,8
1002,10
1003,7
1004,3
1005,6
1006,0
1007,2
1008,0
1009,0
1010,5
1011,0
1012,5
1013,5
1014,0
1015,10
1016,4
1017,5
1018,0
1019,9
1020,8
1021,9
1022,5
1023,8
1024,9
1025,2
1026,10
1027,0
1028,8
1029,8
1030,10
1031,4
1032,7
1033,3
1034,9
1035,10
1036,8
1037,0
1038,5
1039,8
1040,9
1041,8
1042,9
1043,9
1044,8
1045,9
1046,1
1047,5
1048,4
1049,9
1050,1
1051,3
1052,9
1053,4
1054,8
1055,5
1056,9
1057,8
1058,3
1059,9
1060,10
1061,10
1062,5
1063,5
1064,2
1065,5
1066,8
1067,10
1068,9
1069,4
1070,9
1071,6
1072,3
1073,9
1074,10
1075,2
1076,0
1077,5
1078,2
1079,6
1080,2
1081,5
1082,6
1083,9
1084,2
1085,3
1086,7
1087,6
1088,1
1089,1
1090,1
1091,4
1092,1
1093,5
1094,0
1095,1
1096,10
1097,2
1098,1
1099,6
1100,9
1101,2
1102,5
1103,4
1104,6
1105,9
1106,9
1107,10
1108,8
1109,9
1110,5
1111,9
1112,2
1113,2
1114,0
1115,3
1116,9
1117,5
1118,5
1119,5
1120,6
1121,2
1122,7
1123,0
1124,1
1125,9
1126,6
1127,2
1128,8
1129,4
1130,1
1131,8
1132,8
1133,6
1134,4
1135,2
1136,0
1137,8
1138,2
1139,0
1140,7
1141,3
1142,7
1143,2
1144,5
1145,0
1146,0
1147,10
1148,5
1149,10
1150,3
1151,6
1152,2
1153,0
1154,0
1155,9
1156,5
1157,5
1158,2
1159,1
1160,9
1161,8
1162,9
1163,2
1164,3
1165,5
1166,0
1167,5
1168,6
1169,2
1170,4
1171,2
1172,7
1173,2
1174,8
1175,8
1176,10
1177,1
1178,1
1179,4
1180,0
1181,6
1182,4
1183,1
1184,1
1185,6
1186,6
1187,0
1188,5
1189,9
1190,7
1191,6
1192,8
1193,5
1194,10
1195,3
1196,7
1197,5
1198,0
1199,9
1200,5
1201,0
1202,1
1203,3
1204,9
1205,5
1206,8
1207,9
1208,9
1209,2
1210,9
1211,8
1212,5
1213,10
1214,2
1215,8
1216,8
1217,10
1218,0
1219,2
1220,10
1221,10
1222,4
1223,1
1224,6
1225,6
1226,8
1227,6
1228,2
1229,9
1230,4
1231,2
1232,10
1233,10
1234,4
1235,8
1236,4
1237,3
1238,4
1239,9
1240,2
1241,5
1242,5
1243,9
1244,9
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,2
1252,10
1253,5
1254,4
1255,8
1256,4
1257,10
1258,5
1259,2
1260,0
1261,2
1262,2
1263,0
1264,4
1265,9
1266,5
1267,3
1268,8
1269,6
1270,2
1271,2
1272,0
1273,0
1274,0
1275,1
1276,5
1277,0
1278,3
1279,2
1280,1
1281,2
1282,9
1283,5
1284,7
1285,2
1286,1
1287,2
1288,10
1289,3
1290,5
1291,8
1292,5
1293,5
1294,3
1295,5
1296,2
1297,4
1298,9
1299,0
1300,9
1301,9
1302,1
1303,1
1304,0
1305,1
1306,5
1307,9
1308,2
1309,5
1310,5
1311,3
1312,3
1313,1
1314,8
1315,3
1316,0
1317,8
1318,5
1319,10
1320,1
1321,6
1322,2
1323,6
1324,4
1325,2
1326,0
1327,4
1328,4
1329,1
1330,10
1331,4
1332,8
1333,1
1334,5
1335,4
1336,3
1337,1
1338,4
1339,1
1340,5
1341,1
1342,4
1343,8
1344,9
1345,7
1346,3
1347,7
1348,2
1349,4
1350,3
1351,5
1352,1
1353,3
1354,8
1355,6
1356,0
1357,6
1358,1
1359,9
1360,6
1361,9
1362,5
1363,5
1364,0
1365,0
1366,6
1367,5
1368,5
1369,9
1370,8
1371,6
1372,6
1373,2
1374,9
1375,4
1376,10
1377,8
1378,4
1379,8
1380,1
1381,3
1382,8
1383,3
1384,5
1385,4
1386,1
1387,8
1388,9
1389,1
1390,10
1391,5
1392,2
1393,4
1394,8
1395,2
1396,10
1397,2
1398,8
1399,1
1400,9
1401,9
1402,9
1403,5
1404,9
1405,4
1406,10
1407,6
1408,8
1409,2
1410,3
1411,0
1412,6
1413,8
1414,1
1415,2
1416,8
1417,0
1418,2
1419,6
1420,6
1421,7
1422,1
1423,2
1424,10
1425,0
1426,0
1427,7
1428,1
1429,9
1430,2
1431,7
1432,8
1433,5
1434,8
1435,6
1436,5
1437,2
1438,5
1439,5
1440,9
1441,3
1442,1
1443,8
1444,10
1445,1
1446,1
1447,10
1448,0
1449,0
1450,0
1451,4
1452,8
1453,9
1454,0
1455,1
1456,9
1457,3
1458,4
1459,4
1460,2
1461,8
1462,2
1463,2
1464,4
1465,5
1466,2
1467,9
1468,1
1469,4
1470,2
1471,1
1472,5
1473,2
1474,0
1475,0
1476,9
1477,0
1478,8
1479,6
1480,9
1481,0
1482,9
1483,2
1484,0
1485,8
1486,4
1487,1
1488,7
1489,6
1490,2
1491,0
1492,8
1493,1
1494,10
1495,9
1496,9
1497,1
1498,4
1499,10
1500,4
1501,0
1502,8
1503,2
1504,9
1505,9
1506,6
1507,7
1508,5
1509,2
1510,0
1511,10
1512,2
1513,3
1514,0
1515,9
1516,10
1517,5
1518,5
1519,1
1520,2
1521,0
1522,0
1523,4
1524,9
1525,5
1526,6
1527,4
1528,8
1529,1
1530,10
1531,0
1532,0
1533,0
1534,0
1535,1
1536,8
1537,2
1538,4
1539,4
1540,9
1541,6
1542,4
1543,6
1544,6
1545,6
1546,9
1547,2
1548,8
1549,4
1550,0
1551,8
1552,6
1553,1
1554,5
1555,0
1556,2
1557,0
1558,6
1559,9
1560,0
1561,8
1562,3
1563,9
1564,7
1565,6
1566,9
1567,7
1568,5
1569,4
1570,2
1571,2
1572,10
1573,8
1574,10
1575,4
1576,9
1577,1
1578,1
1579,7
1580,9
1581,6
1582,8
1583,0
1584,8
1585,0
1586,4
1587,5
1588,5
1589,0
1590,5
1591,10
1592,5
1593,10
1594,0
1595,0
1596,5
1597,7
1598,1
1599,10
1600,2
1601,4
1602,4
1603,1
1604,8
1605,8
1606,7
1607,8
1608,0
1609,6
1610,4
1611,7
1612,9
1613,1
1614,6
1615,0
1616,0
1617,10
1618,3
1619,5
1620,8
1621,0
1622,2
1623,1
1624,2
1625,8
1626,0
1627,8
1628,9
1629,1
1630,2
1631,0
1632,5
1633,3
1634,3
1635,0
1636,3
1637,3
1638,5
1639,1
1640,5
1641,0
1642,5
1643,0
1644,4
1645,2
1646,2
1647,0
1648,1
1649,8
1650,0
1651,5
1652,8
1653,0
1654,3
1655,3
1656,1
1657,3
1658,5
1659,0
1660,0
1661,0
1662,1
1663,5
1664,5
1665,6
1666,8
1667,0
1668,1
1669,4
1670,9
1671,4
1672,7
1673,8
1674,9
1675,4
1676,2
1677,7
1678,5
1679,0
1680,6
1681,5
1682,4
1683,3
1684,5
1685,10
1686,8
1687,3
1688,8
1689,10
1690,2
1691,2
1692,2
1693,9
1694,5
1695,9
1696,8
1697,5
1698,9
1699,6
1700,5
1701,9
1702,5
1703,0
1704,0
1705,8
1706,3
1707,10
1708,0
1709,6
1710,0
1711,10
1712,5
1713,8
1714,0
1715,9
1716,3
1717,5
1718,9
1719,5
1720,9
1721,7
1722,4
1723,2
1724,2
1725,2
1726,0
1727,10
1728,1
1729,3
1730,8
1731,8
1732,1
1733,5
1734,0
1735,6
1736,0
1737,6
1738,3
1739,8
1740,8
1741,6
1742,9
1743,9
1744,3
1745,0
1746,8
1747,4
1748,6
1749,9
1750,0
1751,5
1752,6
1753,10
1754,1
1755,4
1756,3
1757,6
1758,2
1759,1
1760,3
1761,4
1762,2
1763,6
1764,1
1765,9
1766,3
1767,5
1768,0
1769,5
1770,5
1771,5
1772,10
1773,6
1774,3
1775,5
1776,4
1777,9
1778,1
1779,1
1780,1
1781,8
1782,6
1783,9
1784,9
1785,6
1786,0
1787,8
1788,4
1789,9
1790,8
1791,0
1792,1
1793,3
1794,9
1795,7
1796,5
1797,5
1798,5
1799,1
1800,1
1801,0
1802,5
1803,8
1804,6
1805,0
1806,8
1807,5
1808,9
1809,4
1810,6
1811,4
1812,5
1813,1
1814,10
1815,2
1816,6
1817,4
1818,5
1819,6
1820,9
1821,10
1822,9
1823,2
1824,1
1825,2
1826,1
1827,9
1828,9
1829,5
1830,0
1831,2
1832,8
1833,2
1834,0
1835,1
1836,3
1837,9
1838,6
1839,1
1840,4
1841,1
1842,2
1843,10
1844,5
1845,5
1846,6
1847,9
1848,3
1849,8
1850,2
1851,5
1852,0
1853,4
1854,7
1855,1
1856,6
1857,7
1858,1
1859,6
1860,8
1861,2
1862,0
1863,0
1864,8
1865,0
1866,2
1867,5
1868,1
1869,0
1870,1
1871,5
1872,6
1873,10
1874,4
1875,8
1876,8
1877,7
1878,4
1879,6
1880,3
1881,8
1882,5
1883,2
1884,4
1885,3
1886,9
1887,5
1888,5
1889,1
1890,4
1891,7
1892,9
1893,7
1894,3
1895,0
1896,3
1897,5
1898,0
1899,0
1900,5
1901,9
1902,9
1903,6
1904,8
1905,2
1906,6
1907,5
1908,3
1909,7
1910,10
1911,3
1912,3
1913,1
1914,9
1915,9
1916,5
1917,5
1918,8
1919,3
1920,8
1921,5
1922,10
1923,0
1924,6
1925,5
