Id,Category
0,3
1,10
2,5
3,9
4,7
5,3
6,4
7,10
8,0
9,2
10,1
11,0
12,6
13,10
14,0
15,4
16,9
17,4
18,0
19,9
20,3
21,5
22,3
23,3
24,9
25,3
26,10
27,4
28,9
29,8
30,5
31,9
32,2
33,4
34,5
35,9
36,8
37,10
38,10
39,2
40,6
41,1
42,2
43,2
44,5
45,1
46,10
47,3
48,8
49,9
50,10
51,1
52,3
53,3
54,0
55,8
56,7
57,9
58,6
59,9
60,5
61,4
62,2
63,3
64,10
65,8
66,2
67,9
68,4
69,10
70,5
71,5
72,5
73,8
74,5
75,7
76,4
77,2
78,2
79,9
80,0
81,1
82,9
83,8
84,6
85,2
86,4
87,4
88,8
89,9
90,5
91,7
92,3
93,9
94,0
95,6
96,1
97,2
98,6
99,10
100,4
101,5
102,5
103,2
104,4
105,7
106,6
107,5
108,9
109,3
110,5
111,5
112,4
113,3
114,9
115,0
116,9
117,6
118,9
119,3
120,8
121,5
122,0
123,5
124,1
125,9
126,5
127,8
128,10
129,9
130,5
131,3
132,3
133,0
134,1
135,2
136,3
137,10
138,3
139,1
140,10
141,4
142,2
143,5
144,1
145,10
146,9
147,5
148,8
149,8
150,5
151,4
152,4
153,1
154,2
155,1
156,2
157,8
158,8
159,4
160,5
161,2
162,5
163,5
164,9
165,4
166,5
167,8
168,3
169,9
170,8
171,2
172,8
173,4
174,9
175,2
176,2
177,10
178,8
179,4
180,0
181,8
182,9
183,10
184,6
185,9
186,10
187,0
188,3
189,4
190,2
191,6
192,8
193,8
194,5
195,5
196,8
197,9
198,0
199,4
200,9
201,8
202,8
203,7
204,4
205,10
206,0
207,9
208,10
209,4
210,8
211,5
212,10
213,2
214,2
215,0
216,8
217,3
218,9
219,5
220,5
221,4
222,2
223,7
224,5
225,5
226,0
227,9
228,6
229,8
230,7
231,2
232,7
233,5
234,3
235,2
236,0
237,10
238,4
239,2
240,0
241,3
242,2
243,4
244,2
245,5
246,3
247,9
248,10
249,5
250,9
251,3
252,5
253,2
254,5
255,0
256,0
257,9
258,1
259,8
260,8
261,8
262,8
263,3
264,4
265,9
266,1
267,3
268,0
269,9
270,4
271,3
272,10
273,5
274,0
275,9
276,9
277,2
278,9
279,2
280,9
281,9
282,2
283,0
284,10
285,0
286,2
287,4
288,3
289,10
290,9
291,4
292,0
293,10
294,10
295,6
296,7
297,0
298,8
299,5
300,2
301,9
302,2
303,1
304,0
305,10
306,8
307,3
308,9
309,3
310,9
311,3
312,2
313,8
314,0
315,3
316,7
317,4
318,5
319,9
320,3
321,2
322,5
323,0
324,4
325,8
326,5
327,6
328,10
329,4
330,2
331,0
332,6
333,9
334,4
335,3
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,3
344,5
345,4
346,4
347,6
348,4
349,9
350,4
351,4
352,6
353,4
354,7
355,9
356,0
357,10
358,10
359,4
360,2
361,5
362,10
363,2
364,8
365,5
366,4
367,3
368,9
369,3
370,9
371,4
372,5
373,4
374,6
375,3
376,9
377,9
378,8
379,5
380,10
381,6
382,6
383,9
384,1
385,0
386,4
387,10
388,10
389,8
390,9
391,0
392,10
393,10
394,9
395,2
396,8
397,8
398,2
399,9
400,9
401,4
402,9
403,9
404,6
405,3
406,10
407,5
408,5
409,9
410,9
411,7
412,3
413,7
414,3
415,7
416,4
417,4
418,6
419,3
420,5
421,9
422,2
423,5
424,3
425,5
426,6
427,9
428,9
429,9
430,5
431,3
432,8
433,8
434,3
435,2
436,8
437,10
438,2
439,9
440,10
441,4
442,9
443,2
444,2
445,7
446,0
447,10
448,0
449,2
450,4
451,9
452,3
453,9
454,6
455,6
456,5
457,8
458,8
459,7
460,10
461,9
462,10
463,4
464,2
465,9
466,7
467,7
468,7
469,0
470,5
471,4
472,8
473,2
474,8
475,0
476,6
477,1
478,0
479,6
480,8
481,4
482,3
483,1
484,10
485,5
486,9
487,9
488,5
489,9
490,3
491,6
492,7
493,2
494,5
495,5
496,8
497,1
498,5
499,10
500,6
501,1
502,5
503,6
504,4
505,7
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,7
515,2
516,9
517,9
518,5
519,3
520,2
521,3
522,7
523,1
524,5
525,2
526,5
527,9
528,6
529,3
530,4
531,3
532,5
533,6
534,7
535,10
536,3
537,7
538,8
539,7
540,3
541,1
542,5
543,3
544,9
545,8
546,0
547,5
548,3
549,10
550,9
551,8
552,9
553,5
554,4
555,8
556,1
557,3
558,2
559,5
560,0
561,1
562,5
563,8
564,3
565,4
566,5
567,9
568,5
569,8
570,5
571,3
572,8
573,5
574,8
575,5
576,8
577,0
578,3
579,3
580,2
581,5
582,9
583,9
584,3
585,6
586,8
587,4
588,6
589,5
590,4
591,3
592,4
593,5
594,2
595,9
596,0
597,3
598,4
599,4
600,5
601,0
602,0
603,6
604,3
605,9
606,9
607,10
608,5
609,3
610,5
611,5
612,5
613,0
614,5
615,10
616,8
617,9
618,0
619,9
620,7
621,3
622,4
623,5
624,9
625,3
626,6
627,8
628,1
629,6
630,0
631,0
632,10
633,2
634,9
635,4
636,9
637,1
638,9
639,0
640,10
641,0
642,9
643,4
644,6
645,3
646,7
647,5
648,5
649,3
650,7
651,10
652,8
653,5
654,4
655,5
656,5
657,5
658,8
659,4
660,4
661,6
662,7
663,9
664,9
665,1
666,0
667,2
668,9
669,0
670,7
671,9
672,2
673,0
674,5
675,5
676,3
677,5
678,2
679,1
680,2
681,3
682,2
683,5
684,8
685,0
686,2
687,0
688,10
689,6
690,2
691,9
692,1
693,9
694,4
695,8
696,6
697,8
698,0
699,9
700,0
701,9
702,10
703,0
704,0
705,10
706,8
707,7
708,5
709,9
710,0
711,8
712,6
713,9
714,6
715,4
716,3
717,5
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,1
729,4
730,3
731,0
732,2
733,5
734,4
735,1
736,8
737,10
738,1
739,7
740,3
741,3
742,3
743,3
744,7
745,0
746,8
747,9
748,6
749,8
750,4
751,3
752,10
753,5
754,3
755,2
756,8
757,10
758,9
759,2
760,2
761,4
762,3
763,7
764,1
765,3
766,5
767,9
768,5
769,10
770,1
771,4
772,5
773,5
774,6
775,3
776,2
777,5
778,5
779,4
780,4
