Id,Category
0,3
1,10
2,7
3,9
4,6
5,0
6,9
7,10
8,3
9,2
10,8
11,0
12,8
13,10
14,0
15,4
16,9
17,4
18,5
19,3
20,3
21,5
22,3
23,3
24,9
25,3
26,5
27,4
28,3
29,8
30,5
31,9
32,6
33,4
34,5
35,9
36,5
37,10
38,10
39,8
40,7
41,1
42,0
43,5
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,3
54,7
55,8
56,7
57,7
58,6
59,7
60,5
61,5
62,6
63,3
64,10
65,8
66,1
67,9
68,5
69,10
70,5
71,5
72,5
73,9
74,5
75,6
76,3
77,3
78,9
79,9
80,3
81,4
82,9
83,8
84,7
85,1
86,4
87,4
88,10
89,6
90,8
91,5
92,0
93,5
94,6
95,6
96,1
97,2
98,6
99,10
100,3
101,1
102,5
103,5
104,4
105,7
106,6
107,5
108,9
109,10
110,5
111,5
112,4
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,8
121,5
122,0
123,5
124,3
125,5
126,6
127,8
128,10
129,9
130,8
131,0
132,10
133,3
134,4
135,3
136,3
137,10
138,3
139,3
140,2
141,10
142,5
143,5
144,1
145,4
146,9
147,9
148,8
149,5
150,5
151,4
152,7
153,0
154,8
155,1
156,1
157,9
158,8
159,5
160,5
161,8
162,5
163,5
164,8
165,0
166,5
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,7
175,0
176,1
177,10
178,8
179,5
180,3
181,8
182,9
183,6
184,10
185,9
186,5
187,3
188,7
189,4
190,0
191,3
192,1
193,3
194,7
195,5
196,8
197,3
198,4
199,3
200,9
201,10
202,5
203,7
204,4
205,5
206,7
207,0
208,10
209,4
210,0
211,5
212,10
213,2
214,1
215,2
216,10
217,3
218,6
219,0
220,5
221,2
222,5
223,7
224,5
225,5
226,3
227,9
228,6
229,3
230,0
231,1
232,6
233,2
234,3
235,2
236,4
237,10
238,4
239,6
240,5
241,3
242,8
243,4
244,8
245,5
246,0
247,7
248,10
249,5
250,9
251,3
252,5
253,6
254,5
255,5
256,7
257,9
258,3
259,0
260,10
261,8
262,4
263,10
264,5
265,9
266,1
267,3
268,0
269,9
270,4
271,3
272,10
273,0
274,6
275,0
276,9
277,2
278,3
279,9
280,9
281,4
282,9
283,3
284,10
285,7
286,9
287,4
288,3
289,10
290,9
291,4
292,9
293,10
294,5
295,6
296,7
297,4
298,8
299,5
300,8
301,9
302,8
303,1
304,0
305,10
306,5
307,8
308,9
309,3
310,3
311,0
312,0
313,8
314,8
315,3
316,7
317,0
318,5
319,9
320,3
321,8
322,5
323,0
324,4
325,3
326,5
327,6
328,10
329,0
330,8
331,0
332,9
333,9
334,0
335,6
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,5
344,3
345,5
346,8
347,6
348,4
349,9
350,5
351,5
352,6
353,2
354,6
355,3
356,3
357,10
358,10
359,4
360,3
361,5
362,10
363,5
364,1
365,5
366,4
367,3
368,2
369,7
370,9
371,6
372,5
373,5
374,6
375,3
376,9
377,9
378,8
379,5
380,10
381,7
382,5
383,9
384,10
385,3
386,8
387,10
388,10
389,3
390,5
391,3
392,10
393,10
394,7
395,3
396,8
397,8
398,8
399,9
400,9
401,4
402,1
403,9
404,7
405,3
406,10
407,5
408,5
409,4
410,6
411,7
412,0
413,7
414,3
415,7
416,5
417,4
418,1
419,8
420,5
421,8
422,5
423,10
424,1
425,8
426,6
427,9
428,9
429,9
430,5
431,1
432,7
433,8
434,3
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,3
443,1
444,5
445,3
446,5
447,10
448,0
449,9
450,4
451,9
452,3
453,1
454,6
455,6
456,0
457,4
458,8
459,7
460,10
461,9
462,10
463,10
464,2
465,9
466,7
467,7
468,9
469,0
470,5
471,4
472,8
473,8
474,10
475,5
476,7
477,1
478,1
479,7
480,5
481,4
482,1
483,1
484,10
485,5
486,9
487,9
488,5
489,9
490,3
491,9
492,7
493,1
494,5
495,8
496,8
497,10
498,9
499,10
500,6
501,1
502,5
503,9
504,0
505,3
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,0
514,0
515,5
516,9
517,9
518,5
519,3
520,5
521,8
522,7
523,9
524,1
525,2
526,5
527,7
528,6
529,0
530,4
531,3
532,5
533,3
534,7
535,10
536,1
537,5
538,0
539,8
540,10
541,9
542,10
543,0
544,9
545,8
546,0
547,5
548,3
549,10
550,9
551,8
552,9
553,6
554,4
555,10
556,0
557,3
558,7
559,5
560,7
561,8
562,5
563,8
564,0
565,4
566,5
567,1
568,8
569,3
570,5
571,0
572,6
573,5
574,2
575,4
576,10
577,3
578,1
579,3
580,8
581,4
582,5
583,9
584,6
585,10
586,10
587,3
588,6
589,5
590,4
591,5
592,4
593,5
594,7
595,4
596,0
597,0
598,4
599,4
600,5
601,10
602,6
603,6
604,3
605,9
606,9
607,5
608,5
609,3
610,5
611,3
612,1
613,8
614,9
615,10
616,8
617,9
618,3
619,9
620,7
621,3
622,4
623,10
624,4
625,3
626,3
627,8
628,8
629,6
630,3
631,3
632,2
633,10
634,9
635,3
636,9
637,1
638,5
639,3
640,10
641,0
642,4
643,4
644,1
645,4
646,7
647,9
648,5
649,3
650,7
651,10
652,8
653,5
654,2
655,5
656,5
657,5
658,9
659,3
660,1
661,6
662,0
663,4
664,9
665,8
666,7
667,5
668,7
669,4
670,0
671,9
672,1
673,7
674,5
675,5
676,3
677,5
678,5
679,1
680,3
681,1
682,5
683,5
684,0
685,5
686,2
687,4
688,10
689,6
690,10
691,9
692,8
693,5
694,3
695,8
696,6
697,8
698,0
699,7
700,3
701,0
702,10
703,0
704,4
705,10
706,8
707,0
708,5
709,7
710,5
711,8
712,6
713,9
714,7
715,3
716,5
717,2
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,1
727,3
728,4
729,3
730,10
731,7
732,8
733,5
734,4
735,1
736,3
737,8
738,5
739,7
740,3
741,6
742,0
743,3
744,7
745,5
746,2
747,3
748,6
749,8
750,4
751,2
752,0
753,5
754,5
755,6
756,8
757,10
758,9
759,2
760,2
761,4
762,0
763,3
764,1
765,1
766,8
767,9
768,5
769,10
770,2
771,4
772,5
773,5
774,3
775,8
776,8
777,5
778,10
779,4
780,8
